Legislator,Active,Legislature,SEN/REP,CONGRESSPERSON FIRST NAME,CONGRESSPERSON LAST NAME,PARTY,STATE,DISTRICT
Alexander Lamar,True,116th,Sen.,Lamar,Alexander,R,TN,
Baldwin Tammy,True,116th,Sen.,Tammy,Baldwin,D,WI,
Barrasso John,True,116th,Sen.,John,Barrasso,R,WY,
Bennet Michael,True,116th,Sen.,Michael,Bennet,D,CO,
Blackburn Marsha,True,116th,Sen.,Marsha,Blackburn,R,TN,
Blumenthal Richard,True,116th,Sen.,Richard,Blumenthal,D,CT,
Blunt Roy,True,116th,Sen.,Roy,Blunt,R,MO,
Booker Cory,True,116th,Sen.,Cory,Booker,D,NJ,
Boozman John,True,116th,Sen.,John,Boozman,R,AR,
Braun Mike,True,116th,Sen.,Mike,Braun,R,IN,
Brown Sherrod,True,116th,Sen.,Sherrod,Brown,D,OH,
Burr Richard,True,116th,Sen.,Richard,Burr,R,NC,
Cantwell Maria,True,116th,Sen.,Maria,Cantwell,D,WA,
Capito Shelley,True,116th,Sen.,Shelley,Capito,R,WV,
Cardin Benjamin,True,116th,Sen.,Benjamin,Cardin,D,MD,
Carper Thomas,True,116th,Sen.,Thomas,Carper,D,DE,
Casey Bob,True,116th,Sen.,Bob,Casey,D,PA,
Cassidy Bill,True,116th,Sen.,Bill,Cassidy,R,LA,
Collins Susan,True,116th,Sen.,Susan,Collins,R,ME,
Coons Chris,True,116th,Sen.,Chris,Coons,D,DE,
Cornyn John,True,116th,Sen.,John,Cornyn,R,TX,
Cortez Masto Catherine,True,116th,Sen.,Catherine,Cortez Masto,D,NV,
Cotton Tom,True,116th,Sen.,Tom,Cotton,R,AR,
Cramer Kevin,True,116th,Sen.,Kevin,Cramer,R,ND,
Crapo Michael,True,116th,Sen.,Michael,Crapo,R,ID,
Cruz Ted,True,116th,Sen.,Ted,Cruz,R,TX,
Daines Steve,True,116th,Sen.,Steve,Daines,R,MT,
Duckworth Tammy,True,116th,Sen.,Tammy,Duckworth,D,IL,
Durbin Richard,True,116th,Sen.,Richard,Durbin,D,IL,
Enzi Michael,True,116th,Sen.,Michael,Enzi,R,WY,
Ernst Joni,True,116th,Sen.,Joni,Ernst,R,IA,
Feinstein Dianne,True,116th,Sen.,Dianne,Feinstein,D,CA,
Fischer Deb,True,116th,Sen.,Deb,Fischer,R,NE,
Gardner Cory,True,116th,Sen.,Cory,Gardner,R,CO,
Gillibrand Kirsten,True,116th,Sen.,Kirsten,Gillibrand,D,NY,
Graham Lindsey,True,116th,Sen.,Lindsey,Graham,R,SC,
Grassley Charles,True,116th,Sen.,Charles,Grassley,R,IA,
Harris Kamala,True,116th,Sen.,Kamala,Harris,D,CA,
Hassan Maggie,True,116th,Sen.,Maggie,Hassan,D,NH,
Hawley Josh,True,116th,Sen.,Josh,Hawley,R,MO,
Heinrich Martin,True,116th,Sen.,Martin,Heinrich,D,NM,
