Legislator,State,Jurisdiction,Sen./Rep.,Party Affiliation,Active,Legislature
Larson John,CT,Connecticut Congressional District 1,Rep.,D,True,116th
DeLauro Rosa,CT,Connecticut Congressional District 3,Rep.,D,True,116th
Himes Jim,CT,Connecticut Congressional District 4,Rep.,D,True,116th
Hayes Jahana,CT,Connecticut Congressional District 5,Rep.,D,True,116th
Courtney Joe,CT,Connecticut Congressional District 2,Rep.,D,True,116th
Pingree Chellie,ME,Maine Congressional District 1,Rep.,D,True,116th
Golden Jared,ME,Maine Congressional District 2,Rep.,D,True,116th
Neal Richie,MA,Massachusetts Congressional District 1,Rep.,D,True,116th
Trahan Lori,MA,Massachusetts Congressional District 3,Rep.,D,True,116th
Clark Katherine,MA,Massachusetts Congressional District 5,Rep.,D,True,116th
Kennedy Joe,MA,Massachusetts Congressional District 4,Rep.,D,True,116th
Pressley Ayanna,MA,Massachusetts Congressional District 7,Rep.,D,True,116th
McGovern Jim,MA,Massachusetts Congressional District 2,Rep.,D,True,116th
Keating Bill,MA,Massachusetts Congressional District 9,Rep.,D,True,116th
Moulton Seth,MA,Massachusetts Congressional District 6,Rep.,D,True,116th
Lynch Stephen,MA,Massachusetts Congressional District 8,Rep.,D,True,116th
Pappas Chris,NH,New Hampshire Congressional District 1,Rep.,D,True,116th
Kuster Annie,NH,New Hampshire Congressional District 2,Rep.,D,True,116th
Cicilline David,RI,Rhode Island Congressional District 1,Rep.,D,True,116th
Langevin Jim,RI,Rhode Island Congressional District 2,Rep.,D,True,116th
Welch Peter,VT,Vermont Congressional District (at Large),Rep.,D,True,116th
Norcross Donald,NJ,New Jersey Congressional District 1,Rep.,D,True,116th
Kim Andy,NJ,New Jersey Congressional District 3,Rep.,D,True,116th
Payne Donald,NJ,New Jersey Congressional District 10,Rep.,D,True,116th
Smith Chris,NJ,New Jersey Congressional District 4,Rep.,R,True,116th
Gottheimer Josh,NJ,New Jersey Congressional District 5,Rep.,D,True,116th
Malinowski Tom,NJ,New Jersey Congressional District 7,Rep.,D,True,116th
Van Drew Jeff,NJ,New Jersey Congressional District 2,Rep.,R,True,116th
Pascrell Bill,NJ,New Jersey Congressional District 9,Rep.,D,True,116th
Sherrill Mikie,NJ,New Jersey Congressional District 11,Rep.,D,True,116th
Pallone Frank,NJ,New Jersey Congressional District 6,Rep.,D,True,116th
Coleman Bonnie Watson,NJ,New Jersey Congressional District 12,Rep.,D,True,116th
Sires Albio,NJ,New Jersey Congressional District 8,Rep.,D,True,116th
Zeldin Lee,NY,New York Congressional District 1,Rep.,R,True,116th
Velázquez Nydia,NY,New York Congressional District 7,Rep.,D,True,116th
Jacobs Chris,NY,New York Congressional District 27,Rep.,R,True,116th
Lowey Nita,NY,New York Congressional District 17,Rep.,D,True,116th
Ocasio-Cortez Alexandria,NY,New York Congressional District 14,Rep.,D,True,116th
Meng Grace,NY,New York Congressional District 6,Rep.,D,True,116th
Meeks Gregory,NY,New York Congressional District 5,Rep.,D,True,116th
Katko John,NY,New York Congressional District 24,Rep.,R,True,116th
Engel Eliot,NY,New York Congressional District 16,Rep.,D,True,116th
Rose Max,NY,New York Congressional District 11,Rep.,D,True,116th
Serrano José,NY,New York Congressional District 15,Rep.,D,True,116th
Reed Tom,NY,New York Congressional District 23,Rep.,R,True,116th
Jeffries Hakeem,NY,New York Congressional District 8,Rep.,D,True,116th
Maloney Carolyn,NY,New York Congressional District 12,Rep.,D,True,116th
Maloney Sean Patrick,NY,New York Congressional District 18,Rep.,D,True,116th
King Pete,NY,New York Congressional District 2,Rep.,R,True,116th
Tonko Paul,NY,New York Congressional District 20,Rep.,D,True,116th
Morelle Joe,NY,New York Congressional District 25,Rep.,D,True,116th
Suozzi Tom,NY,New York Congressional District 3,Rep.,D,True,116th
Stefanik Elise,NY,New York Congressional District 21,Rep.,R,True,116th
Nadler Jerry,NY,New York Congressional District 10,Rep.,D,True,116th
Rice Kathleen,NY,New York Congressional District 4,Rep.,D,True,116th
Espaillat Adriano,NY,New York Congressional District 13,Rep.,D,True,116th
Higgins Brian,NY,New York Congressional District 26,Rep.,D,True,116th
Brindisi Anthony,NY,New York Congressional District 22,Rep.,D,True,116th
Clarke Yvette,NY,New York Congressional District 9,Rep.,D,True,116th
Delgado Antonio,NY,New York Congressional District 19,Rep.,D,True,116th
Fitzpatrick Brian,PA,Pennsylvania Congressional District 1,Rep.,R,True,116th
Doyle Mike,PA,Pennsylvania Congressional District 18,Rep.,D,True,116th
